mirID,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63
mir1,0.026683213,-0.158794448,-0.306300491,0.109247841,0.166090161,1.51E-05,0.159219727,0.089791,0.058412023,0.122981533,0.030103255,-0.003488047,-0.048222434,0.066463597,0.091673769,-0.107265987,0.321830541,0.13775906,0.185392693,-0.095766157,0.008287491,-0.254077643,0.104288451,-0.027108328,-0.059270348,-0.298496068,-2.86E-05,-0.013426331,0.074891999,0.052928023,-0.154884055,0.000757409,-0.275203228,-0.183573171,0.115301073,-0.140753224,0.309395611,0.455257922,0.264671654,0.241904259,-0.091523625,-0.012968363,-0.429431587,-0.033780951,-0.194025204,0.168209866,0.005747815,0.193328828,-0.144618645,-0.217510432,-0.127392158,-0.215561032,-0.015333608,0.418784976,0.067953981,0.034155432,0.208079085,-0.543814778,0.110319264,-0.182158634,-0.186581179,0.34811464,-0.052846704,-0.34887284
mir2,0.026683213,-0.158794448,-0.306300491,0.109247841,0.166090161,1.51E-05,0.159219727,0.089791,0.058412023,0.122981533,0.030103255,-0.003488047,-0.048222434,0.066463597,0.091673769,-0.107265987,0.321830541,0.13775906,0.185392693,-0.095766157,0.008287491,-0.254077643,0.104288451,-0.027108328,-0.059270348,-0.298496068,-2.86E-05,-0.013426331,0.074891999,0.052928023,-0.154884055,0.000757409,-0.275203228,-0.183573171,0.115301073,-0.140753224,0.309395611,0.455257922,0.264671654,0.241904259,-0.091523625,-0.012968363,-0.429431587,-0.033780951,-0.194025204,0.168209866,0.005747815,0.193328828,-0.144618645,-0.217510432,-0.127392158,-0.215561032,-0.015333608,0.418784976,0.067953981,0.034155432,0.208079085,-0.543814778,0.110319264,-0.182158634,-0.186581179,0.34811464,-0.052846704,-0.34887284
mir3,0.026683213,-0.158794448,-0.306300491,0.109247841,0.166090161,1.51E-05,0.159219727,0.089791,0.058412023,0.122981533,0.030103255,-0.003488047,-0.048222434,0.066463597,0.091673769,-0.107265987,0.321830541,0.13775906,0.185392693,-0.095766157,0.008287491,-0.254077643,0.104288451,-0.027108328,-0.059270348,-0.298496068,-2.86E-05,-0.013426331,0.074891999,0.052928023,-0.154884055,0.000757409,-0.275203228,-0.183573171,0.115301073,-0.140753224,0.309395611,0.455257922,0.264671654,0.241904259,-0.091523625,-0.012968363,-0.429431587,-0.033780951,-0.194025204,0.168209866,0.005747815,0.193328828,-0.144618645,-0.217510432,-0.127392158,-0.215561032,-0.015333608,0.418784976,0.067953981,0.034155432,0.208079085,-0.543814778,0.110319264,-0.182158634,-0.186581179,0.34811464,-0.052846704,-0.34887284
mir4,0.036504284,-0.163011238,-0.302799016,-0.002379225,0.154649749,-0.003847989,0.182117283,0.07726977,-0.011302217,0.128220648,0.037219249,-0.058087409,-0.056252792,-0.014773702,0.054134887,-0.008820964,0.320177108,0.183578089,0.187376246,-0.126457691,-0.205995947,-0.220330894,0.106669754,0.081962273,0.114979528,-0.312638968,-0.025168465,0.018311221,0.046775717,0.036197625,-0.168148637,-0.07643833,-0.376692772,-0.146547332,0.132353917,-0.18098852,0.157689929,0.412299275,0.267721295,0.2568385,-0.074256726,-0.021916455,-0.349663675,-0.014764253,-0.21009399,0.175198957,-0.050272658,0.228813961,-0.140485436,-0.101278111,-0.115758352,-0.194383249,0.063267551,0.434569538,0.121543407,0.108483627,0.242732331,-0.531368852,0.056386493,-0.195563182,-0.321804613,0.243281499,-0.184527114,-0.245560929
mir5,0.046715349,-0.191406578,-0.288868338,0.081682637,0.171914935,0.008323252,0.161887765,0.082294993,0.02987607,0.120984823,0.020930989,-0.099598281,-0.087028019,-0.008925865,0.113554321,-0.03851952,0.252194583,0.108976759,0.18874231,-0.097104974,-0.088415906,-0.249152616,0.092860118,0.031369731,0.004175241,-0.315647364,-0.016409131,0.02341665,0.091871962,0.050849561,-0.141083285,-0.038985498,-0.305623055,-0.207143575,0.109897599,-0.185984865,0.231041715,0.407628864,0.264617175,0.260691911,-0.039974116,-0.04052414,-0.438690394,-0.003966796,-0.195569605,0.186248645,0.024737988,0.191944182,-0.132159889,-0.216513604,-0.124265797,-0.180760622,0.106112964,0.45651269,0.067801483,0.043353409,0.240899041,-0.530661643,0.091546275,-0.200065747,-0.221550822,0.247015715,-0.076793678,-0.343501717
mir6,-0.000437669,-0.179003164,-0.273249954,0.180649817,0.21563375,0.251068085,0.164134711,0.079683363,0.076728493,0.146005601,-0.003089813,-0.10819643,-0.081433907,0.062048677,0.055794716,-0.09289559,0.381048173,0.133947134,-0.129696667,0.014120552,0.035189964,-0.225573361,0.090644471,0.049452588,-0.052126028,-0.270806313,0.018535232,0.092378348,0.051992383,0.027075535,-0.16851756,-0.180745631,-0.311348945,-0.244437486,-0.030154226,-0.123934202,0.208613902,0.430040985,0.095234051,0.229864582,0.005603143,-0.088358216,-0.393715262,-0.027367871,-0.218669802,0.163013458,-0.056840155,0.324362278,0.008109253,-0.158151925,-0.349208683,-0.209807888,-0.019505272,0.420408309,-0.104932569,-0.149692029,0.203857049,-0.520285487,0.075887918,-0.170178756,-0.234067693,0.317000389,-0.158506006,-0.221325144
mir7,-0.028792873,-0.158801526,-0.289211273,0.034402214,0.167852476,0.057391975,0.153828472,0.084685341,0.064970888,0.11803326,0.088886671,-0.03379884,-0.065898098,0.066642821,0.121841796,-0.126868203,0.35468787,0.002885132,0.148432374,-0.112650506,0.026937474,-0.26776737,0.105010644,-0.04511169,-0.056896359,-0.294520408,0.082162909,0.002564732,0.083862029,0.032482356,-0.15186961,-0.047714211,-0.271168262,-0.143376082,0.063637123,-0.114564106,0.347684115,0.45020625,0.260912031,0.216399193,-0.113533482,-0.048991304,-0.433343679,-0.031422026,-0.186015084,0.163356677,0.082160346,0.196454257,-0.135843962,-0.246093377,-0.121992372,-0.205754623,-0.01615132,0.400559425,0.034591775,0.053360328,0.207875207,-0.529520452,0.06620352,-0.177098885,-0.175872505,0.349021316,-0.104888491,-0.402793258
mir8,0.037905566,-0.157738,-0.30799827,0.065835141,0.163312718,-0.067471161,0.147413939,0.096728228,0.066342853,0.128346741,-0.00437064,0.044134729,-0.080173679,0.067758128,0.106460936,-0.094200492,0.301826745,0.050587554,0.207920104,-0.050276317,0.08050026,-0.191257894,0.106269829,-0.027830848,-0.086103678,-0.295939207,-0.027540397,0.007268822,0.06156515,0.048728459,-0.169569939,-0.009070927,-0.306628972,-0.15855819,0.055641271,-0.185255527,0.342734367,0.450257152,0.261311322,0.251199931,-0.10884954,-0.008381578,-0.488826662,-0.033388853,-0.205266967,0.161938295,0.009723177,0.205976382,-0.185803548,-0.235457882,-0.135871515,-0.195178151,0.021484483,0.445401073,0.137422174,-0.006106652,0.212604225,-0.559807956,-0.015880601,-0.184706897,-0.195414245,0.332406312,-0.097238459,-0.269563586
mir9,0.03743149,-0.170374304,-0.251979917,0.145231307,0.162866771,-0.046261713,0.145205215,0.087750502,0.063623048,0.120301038,0.046868112,0.016674604,-0.072993077,0.085995741,0.080115341,-0.122304067,0.288676411,0.049892694,0.187352538,-0.059022058,-0.001817797,-0.185145766,0.098416612,-0.031276535,0.016200628,-0.292444706,0.07479547,0.029181095,0.031618405,0.050219487,-0.161283717,-0.049690992,-0.299671143,-0.245512322,0.10091345,-0.185673892,0.309996277,0.448091775,0.264187008,0.251841515,-0.120312594,-0.016186381,-0.390746891,-0.026976094,-0.230004206,0.174260542,0.088344939,0.156918645,-0.129336283,-0.111932524,-0.123649791,-0.194456309,-0.013137707,0.427684516,0.210275233,-0.046334684,0.200869054,-0.54414916,0.063596427,-0.157797515,-0.25737235,0.278321117,-0.162319481,-0.24434337
mir10,0.013129975,-0.147939324,-0.284366876,0.046850313,0.145721883,-0.055513799,0.17102012,0.080157913,0.022069454,0.129112288,0.05135515,0.028633781,-0.044572901,0.057403289,0.095355295,-0.064355373,0.27691102,0.091250919,0.192296535,-0.05576811,-0.230337024,-0.194805354,0.099015526,0.028349694,0.226935342,-0.278319985,0.039605957,0.064468071,-0.015166628,0.035538189,-0.170888752,-0.11797554,-0.381710589,-0.210408106,0.105226666,-0.22631833,0.159479812,0.440142959,0.266305774,0.252984613,-0.12614879,0.00064521,-0.335083663,-0.024708835,-0.220842138,0.156492576,0.042397603,0.1777751,-0.116473399,-0.08874429,-0.114445046,-0.21387504,0.03925281,0.379225463,0.25277102,0.001104747,0.209684089,-0.5243541,0.007204587,-0.147740617,-0.283870667,0.261881948,-0.269112021,-0.109358646
