CID,SMILES
CID:137,C(CC(=O)O)C(=O)CN
CID:237,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
CID:338,C1=CC=C(C(=C1)C(=O)O)O
CID:444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CID:564,C(CCC(=O)O)CCN
CID:681,C1=CC(=C(C=C1CCN)O)O
CID:702,CCO
CID:772,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
CID:1046,C1=CN=C(C=N1)C(=O)N
CID:1125,CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O
CID:1676,CCCN1C2=C(C(=O)NC1=O)NC=N2
CID:1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
CID:1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
CID:1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
CID:1983,CC(=O)NC1=CC=C(C=C1)O
CID:1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
CID:1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
CID:1990,CC(=O)NO
CID:2022,C1=NC2=C(N1COCCO)NC(=NC2=O)N
CID:2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
CID:2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
CID:2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
CID:2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
CID:2094,C1=C2C(=NC=NC2=O)NN1
CID:2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O
CID:2131,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl
CID:2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
CID:2141,C(CN)CNCCSP(=O)(O)O
CID:2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
CID:2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2
CID:2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
CID:2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
CID:2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CID:2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
CID:2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
CID:2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
CID:2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
CID:2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
CID:2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
CID:2197,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
CID:2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2
CID:2216,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
CID:2218,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3
CID:2244,CC(=O)OC1=CC=CC=C1C(=O)O
CID:2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CID:2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
CID:2266,C(CCCC(=O)O)CCCC(=O)O
CID:2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
CID:2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CID:2315,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
CID:2337,CCOC(=O)C1=CC=C(C=C1)N
CID:2342,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC
CID:2343,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
CID:2350,C1CN(CCC1OC(C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O
CID:2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
CID:2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
CID:2370,CC(C[N+](C)(C)C)OC(=O)N
CID:2372,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O
CID:2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
CID:2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
CID:2381,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
CID:2405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
CID:2431,CC[N+](C)(C)CC1=CC=CC=C1Br
CID:2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
CID:2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br
CID:2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
CID:2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
CID:2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
CID:2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
CID:2484,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
CID:2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CID:2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CID:2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
CID:2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
CID:2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CID:2578,C(CCl)NC(=O)N(CCCl)N=O
CID:2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O
CID:2583,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
CID:2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
