SMID,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63
comp1,0.080112286,-0.14216122,-0.976144075,-0.014471364,-0.006188188,0.243569508,0.007113952,0.09316574,-0.027525496,0.027327657,0.112083733,-0.018599961,-0.005407403,-0.090874761,0.131119534,0.147273794,-0.036231078,0.034410588,0.008088657,-0.05459287,-0.115766846,0.107758082,0.058697578,-0.133692876,-0.095257223,-0.222032979,-0.795895517,0.088586666,-0.085124455,0.086938292,0.122162044,-0.097186878,0.003980484,0.129447252,0.040779479,0.117743105,0.172966003,0.030407034,-0.098035656,0.161206707,0.116750628,0.022579052,-0.021830272,-0.001426089,0.069470324,0.424561381,0.036575481,-0.563923478,-0.10263221,-0.073849134,0.117193073,-0.104909897,0.058115687,-0.016417472,0.487194121,-0.074351728,-0.039100099,-0.099518567,-0.076998673,-0.023088923,-0.254770935,0.115084372,-0.908675551,0.042201776
comp2,0.073504724,0.041291788,0.069446169,0.103742033,-0.024466872,0.532294929,-0.069775596,-0.094290555,0.071793824,0.100272857,0.047159363,-0.010394054,-0.037134387,0.038566433,0.017563395,0.020648295,-0.008825261,-0.010408422,-0.021943228,0.004280567,0.146955803,0.066531591,0.036889747,-0.469501644,-0.004514982,-0.277725875,0.021116715,-0.018875504,0.020256162,0.041107591,0.022969207,0.220350683,-0.018763134,0.055971969,0.121408746,-0.017802026,-0.133016005,0.016135702,-0.075802021,-0.009919393,0.333530724,-0.004230442,-0.03147218,-0.003278041,0.026509529,0.364820838,-0.029004384,-0.037613865,-0.028572524,-0.002894585,0.016931862,-0.17863366,-0.003335867,0.051916394,0.331115246,-0.016513366,0.031310011,0.058481898,0.0519717,-0.076867178,0.189954534,-0.075166583,-0.328230441,0.056997307
comp3,0.051283225,-0.03322608,-0.877114892,-0.017931398,-0.009527763,0.279904991,-0.357505649,0.015140983,-0.007174196,0.026659397,0.098958209,0.134979427,-0.007597184,-0.041292712,0.025987776,0.002745314,-0.048325248,-0.022260165,-0.02440411,0.049284663,-0.127136007,-0.081518725,0.07542555,-0.106165983,-0.065674104,-0.208429962,-0.487194896,0.029263128,-0.036619388,0.086539119,0.031415746,-0.01699096,-0.063657627,0.090572745,0.111776441,0.084967777,0.113965355,0.001170173,-0.091906793,0.111536518,0.089352608,0.044386879,-0.07407327,-0.010757046,0.017723477,0.464731693,0.053217698,-0.437891871,-6.71E-05,-0.094537504,0.090680033,-0.07349842,0.178753734,-0.038246989,0.401580155,-0.035077006,0.00520773,-0.118742362,-0.086256377,-0.059739828,-0.039212938,0.096392602,-0.82152766,0.077761829
comp4,0.003161618,-0.034946848,-0.537261605,-0.01546894,-0.038374204,0.343931019,-0.018281356,0.029653654,0.026999487,0.024636244,0.086600356,0.001990983,-0.011789493,0.014793087,0.042161155,-0.056745663,-0.023974285,-0.036567278,-0.016816583,0.034286663,-0.036251694,0.087918207,0.092790343,-0.176553652,-0.027553722,-0.218422547,-0.024496574,-0.025131401,0.009868416,0.117494494,0.003156275,0.204771206,-0.003080553,0.057164043,0.082342349,0.002674866,-0.058066167,-0.080717236,-0.004718909,0.050050694,0.146553725,-0.055036597,0.016537262,-0.027981224,-0.081041209,0.399106413,0.007097852,-0.296574116,-0.074116237,0.03772049,0.044396669,-0.098065943,0.033693705,0.012262229,0.273994654,0.00864666,0.028249966,-0.113278888,0.016631652,0.025426675,0.090090446,0.04540921,-0.508428574,0.018639274
comp5,0.082165264,-0.152986825,-0.993747652,-0.007173696,-0.004524962,0.222544476,0.008213755,0.143855184,-0.016206501,-0.008710578,0.064347737,-0.018936208,-0.00483036,-0.157135502,0.278781205,0.236266866,-0.016172864,0.034930833,0.073305681,0.0143607,-0.060717035,0.077422149,0.03469146,-0.098848358,-0.094327547,-0.201887384,-0.90802145,0.059773039,-0.09902098,0.093311727,0.195754349,-0.074393116,-0.020493664,0.151118934,0.010454935,0.010854516,0.144859433,0.054825567,-0.133857816,0.150882915,0.110990733,0.023247864,-0.091655605,0.06483122,0.054616813,0.357554317,0.01138339,-0.683066726,-0.056917977,-0.077711739,0.139480948,-0.120043404,-0.016449345,-0.197214618,0.518895686,-0.038961962,-0.099462897,0.000680747,-0.039598018,-0.096527137,-0.461417049,0.08488936,-0.944032013,0.046625316
comp6,0.053558148,-0.005737185,-0.922013581,-0.015944248,-0.011746877,0.268659383,-0.355965674,0.06856063,-0.003564659,0.022066982,0.110595733,0.133777231,-0.005525895,-0.029789224,0.026471833,0.065171719,-0.055244975,-0.044759441,-0.048198707,-0.007805655,-0.196137697,-0.043911867,0.077243835,-0.080846883,-0.114438064,-0.195702329,-0.590897083,-0.012116742,-0.073960349,0.076027662,-0.014966613,-0.061644088,0.020139819,0.099494696,0.114501327,0.114458472,0.140746534,0.027625615,-0.06666559,0.134374991,0.094316125,0.000671801,-0.088170357,-0.025516523,0.011892836,0.439632237,0.041642435,-0.495653033,0.014461792,-0.107887357,0.107016504,-0.077083133,0.070212528,-0.178423211,0.535442829,-0.027343409,0.005441351,-0.130914703,-0.108225539,-0.058763791,-0.089313805,0.059666269,-0.860543251,0.091788456
comp7,0.041422054,-0.000658143,-0.962187648,-0.230142012,0.004031966,0.847112298,0.000561222,0.067074805,-0.293821603,0.006171487,-0.572396636,0.024903201,0.027869046,-0.040430497,-0.083610088,0.348373353,-0.003208618,-0.097315982,0.021722844,0.239586294,0.294514358,-0.885714591,0.097215228,-0.098691531,0.07051912,0.619816601,-0.198273927,0.062624805,0.080160737,0.278780341,-0.631335497,-0.100893781,-5.02E-05,0.68210572,-0.066010356,1.38E-05,0.060797568,-0.008198679,-0.639478505,0.05667758,-0.348136872,-0.016989684,0.10996519,0.039302945,-0.701022804,0.107023962,0.130279541,0.750423014,-0.019989489,-0.049716465,0.167856425,-0.823635995,0.045641061,-0.296057135,0.428295732,-0.080347769,-0.004248301,0.000979972,-0.003415223,-0.681771219,-0.007250332,-0.056667645,-0.803693652,0.054524764
comp8,0.016961209,-0.003585149,0.059716526,0.099190831,-0.105123252,0.535565555,-0.042979628,-0.045614742,0.082316838,0.070470676,0.128724262,0.025480799,-0.041416917,0.072861746,-0.05561164,-0.03914836,-0.090358734,0.031511728,-0.000798938,0.042632326,0.078955047,-0.041813809,0.076826572,-0.2245031,0.001998382,-0.234832689,0.022487279,0.011853099,0.032677166,0.043025702,-0.007118012,0.276871443,-0.016504223,0.021532474,0.045409024,-0.004963242,-0.152085349,0.054704722,-0.096197091,0.070108786,0.596273303,0.006622404,0.093717523,0.028086139,0.017445179,0.445941657,0.007458112,-0.212545067,-0.09829554,-0.035784919,0.023826718,-0.14095214,0.098772727,0.05466032,0.312496662,-0.026262142,0.003939202,-0.007518801,0.00562,-0.008490892,0.045420419,-0.022920957,-0.342112988,-0.118602745
comp9,0.0471786,-0.069030084,-0.941683948,-0.014381994,-0.006432766,0.267546296,-0.328129768,0.020406563,-0.028106531,0.022167735,0.082814507,0.129063353,-0.005670704,-0.047381211,0.084063694,0.049453236,-0.051154915,-0.054430321,-0.018361365,0.052488014,-0.12956655,-0.083498403,0.06625212,-0.098036848,-0.097666487,-0.225297138,-0.676065028,0.053208109,-0.026116552,0.084534138,0.090785705,-0.055662457,-0.080072686,0.106458187,0.088687055,0.034350622,0.159925565,0.00181134,-0.102074213,0.16345799,0.106656015,0.027014874,-0.040185567,0.016326169,0.009092927,0.410841286,0.037580218,-0.51773566,0.000300211,-0.117175631,0.111385524,-0.06345921,0.132350668,-0.07441622,0.468563855,-0.055059921,-0.01347215,-0.103003018,-0.081845909,-0.042417407,-0.157039315,0.124063231,-0.875315428,0.045640793
comp10,0.008696342,-0.00875286,-0.487794399,-0.010696279,-0.032028254,0.356537998,-0.014075976,0.004687489,0.003305588,0.023119412,0.002916503,0.016012263,-0.010102812,0.032018717,0.080087453,0.001190756,-0.030237963,-0.036143668,-0.028515847,0.065310493,0.008695039,0.086908408,0.104718551,-0.147995934,-0.035698861,-0.211540803,0.007873058,0.034044515,0.002900048,0.112357885,0.063597351,0.152065858,0.032453511,0.053621203,0.075842582,0.061703373,-0.054111179,0.009497597,-0.060602535,-0.030091982,0.133208424,-0.034219138,-0.070115358,0.058857553,0.02063147,0.39639312,-0.054783009,-0.269806296,-0.000430812,-0.034245484,0.037426889,-0.125370234,0.10598471,0.024015931,0.255721211,-0.007614893,0.060793269,-0.07885737,-0.050152257,0.026772445,0.158636272,0.014995913,-0.446277767,0.081151187
